Power,Autocorr skew,Autocorr kurt,Signal presence (any)
-92.5707071528906,9.26191879556358,120.276921903723,0
-92.3588866914096,10.0262148773761,131.861517823477,0
-92.7051853548701,8.82840649574089,113.268422704,0
-92.5718088710006,9.35592410502043,120.657887018422,0
-92.4627885515206,9.5787934644989,124.64634223721,0
-92.3303872467085,9.28323725351482,119.278073492616,0
-92.391698920599,9.10056405610166,116.28717831221,0
-92.7536448942536,8.94956831410427,113.549829727871,0
-92.5008035296527,9.23351354734949,118.297504042964,0
-92.7637888450008,9.50982389396924,123.362890279331,0
-92.6973486302721,8.69543935454432,110.364058454668,0
-92.8829967183812,9.46153168246762,121.581185641892,0
-92.7847156182154,9.10877458711817,116.009924685372,0
-92.2204404336056,9.19856527855513,116.556642157861,0
-91.6053643160587,8.49379616861488,108.121439846732,0
-92.8192622839911,9.3224340598049,119.387896566611,0
-92.6254548917735,10.4162465721915,137.860152660437,0
-92.664974728603,9.33847169798887,120.504008715945,0
-92.3328916951971,8.4979979960046,104.189577027887,0
-92.8615308719386,9.32654465433244,120.54305747132,0
-92.6573025122209,8.81868967203012,112.774574457505,0
-92.7407682596526,9.3252727417343,121.252456210073,0
-92.9272208866424,9.5577530207539,124.478175144698,0
-92.6256965953652,9.1006424749945,117.963705902718,0
-92.2126142921663,9.01977330231058,115.957889365746,0
-92.3997789355287,9.54973624489461,124.296752023507,0
-92.6970788962997,9.01614171909325,116.0302641357,0
-92.099124463506,8.87838168434478,113.40701965535,0
-92.8599199170801,9.04770988466404,113.39045825426,0
-92.4900115835752,8.82317056407803,111.801499832148,0
-93.0274665907115,9.65075252112937,126.901076718531,0
-92.7982896150571,10.0274374634059,132.06544861013,0
-92.5784488182606,9.51660923554057,124.480250484052,0
-92.5748247630142,10.0452263303486,133.11814604743,0
-92.7075984092557,9.55135316231026,124.303123536852,0
-92.4375357241731,8.72273607748984,111.070763283592,0
-92.7175513330432,8.90287014255437,111.391792284843,0
-92.7632065731254,10.0148722805616,131.823002373295,0
-92.5795635951177,9.45475736274507,121.661825945517,0
-91.8418385000379,9.34331669661348,120.991148020647,0
-92.3759543082604,8.04542970676944,98.4344068446103,0
-92.9702773421969,9.4447136180334,123.466403291735,0
-92.5922561313928,8.67368283803278,109.610184315157,0
-92.7753749155561,9.85643072811652,127.285157955368,0
-93.0686942010307,9.58041623526754,124.733335841095,0
-91.998686744091,9.10633353019555,114.669903716982,0
-92.4497000867586,9.32646576526571,118.395786609999,0
-92.9152359433709,9.04936592492641,115.637685913529,0
-92.4653889026229,8.87491194106893,113.196222801124,0
-92.6835382756596,9.25706696878048,119.183280899352,0
-92.7628690057501,10.4439266248326,138.884095481263,0
-92.9983611049888,10.1938623119988,135.338024327002,0
-93.000303915139,9.16207881792722,118.175726198671,0
-92.245444992499,9.21223115967901,118.780825493016,0
-92.8277774037963,9.52096989590393,123.531495753212,0
-92.4086510220396,9.29927774392825,119.827069680651,0
-93.0967363248888,10.0956334825319,132.136028955045,0
-92.5198014804512,8.86878865659069,113.60201942773,0
-92.8465401761923,9.91080308784552,129.801133336209,0
-92.0019288818916,9.32675576041346,119.189378517032,0
-92.3344273253426,8.42385303989959,107.188998448681,0
-92.3797414015412,9.49637519310799,123.155041029211,0
-92.2159783416499,9.55843361758855,124.569306518365,0
-92.686997531198,9.63320798542229,125.479908107662,0
-92.8090469980256,9.22031383866093,120.582471239856,0
-92.4764504004248,9.71076091099178,126.20775688075,0
-92.2673286212209,9.36223848927138,122.531212064062,0
-92.4645499044681,9.98031260222051,132.927117425685,0
-92.7833943870391,9.29882235248193,117.230415459937,0
-92.5819481464011,9.23930602455826,117.807697216057,0
